Document Title,Authors,Publication Title,Date Added To Xplore,Publication Year,Abstract,IEEE Terms,PDF Link,Document Identifier,Medical,Disease,Modality,Model,Explainibility,Local/Global
Detection of Intracranial Hemorrhage by Artificial Intelligence and Deep Learning Methods,D. Veselov; N. Andriyanov; L. Trung,2024 X International Conference on Information Technology and Nanotechnology (ITNT),09-Jul-24,2024,"This paper addresses the task of intracranial hemorrhage detection and classification based on the RSNA 2019 brain computed tomography (CT) dataset. Several popular neural network (NN) architectures based on convolutional neural networks (CNNs) have been considered and interpretation of the neural network classifier by GradCAM method has been shown. To efficiently process the dataset, various radiology information processing methods were considered to create the resulting training sample. In addition, the training sample was reduced to 10% of the total dataset to avoid technical limitations and improve performance. The main contribution of the work is the creation and testing of deep learning algorithms for the detection of acute intracranial hemorrhage and its five subtypes. Various steps related to data cleaning, augmentation and preprocessing have also been applied in the presented work.",Training;Deep learning;Computed tomography;Predictive models;Radiology;Convolutional neural networks;Hemorrhaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10582393,IEEE Conferences,,,,,,
Diving Deep into Bone Anomalies on the FracAtlas Dataset Using Deep Learning and Explainable AI,F. Akhlaq; S. Ali; A. S. Imran; S. M. Daudpota; Z. Kastrati,2024 International Conference on Engineering & Computing Technologies (ICECT),08-Jul-24,2024,"Medical image analysis has undergone significant advancements with the integration of machine learning techniques, particularly in the realm of bone anomaly detection. The availability of recent datasets and the lack of benchmarking and explainability components provide numerous opportunities in this domain. This study proposes a benchmarking approach to a recently published FracAtlas dataset utilizing state-of-the-art deep-learning models coupled with explainable artificial intelligence (XAI) having two distinct modules. The first module involves the binary classification of fractures in different body parts and explains the decision-making process of the best-performing model using an XAI technique known as EigenCAM. EigenCAM generates heatmaps on every layer of the YOLOv8m model to explain how the model reached a conclusion and localizes the fracture using a heatmap. To verify the heatmap, we also detected fractures using the YOLOv8m detection model, which achieved a mAP@O.5 of 59.5%, outperforming the baseline results on this dataset. The second module involves a multi-class classification task to categorize images into one of the five anatomical regions. The best-performing model for binary classification is the YOLOv8m model, with an accuracy of 83.1%, whereas the best-performing model for multi-class classification is the YOLOv8s, achieving an accuracy of 96.2%.",Heating systems;Deep learning;Accuracy;Image analysis;Explainable AI;Computational modeling;Decision making,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10581288,IEEE Conferences,,,,,,
A Fusion Deep Learning Model of ResNet and Vision Transformer for 3D CT Images,C. Liu; C. Sun,IEEE Access,,2024,"The outbreak of COVID-19 has had a serious impact on the safety of human life and property. Rapid and effective diagnosis is the key to the prevention and treatment of the virus. In this study, we introduce a new fusion model called â€œReswinâ€, which was trained by 3D CT data to diagnose COVID-19. The model combines two mainstream computer vision models, Resnet 3D (a convolutional neural network) and Video Swin Transformer (a vision transformer neural network), which use a soft voting method. We compared our proposed model Reswin with ResNet 3D-50, Swin-T, MViT, R2+1D-50, SlowFast-50, X3D, and CSN101, which are state-of-the-art deep learning models used for the classification of 3D images. The Reswin model achieved an accuracy of 0.9099, precision of 0.9266, F1 score of 0.9425, AUC of 0.9541, and AUPR of 0.9861 in binary classification, and an accuracy of 0.8655, precision of 0.8580, and F1 score of 0.8620 in triple classification. Reswin provides a new solution for 3D CT image classification tasks and new ideas for the development of deep learning in 3D medical imaging.",COVID-19;Transformers;Task analysis;Predictive models;Deep learning;Biomedical imaging;X3D;Three-dimensional displays;Image classification,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584487,IEEE Early Access Articles,,,,,,
Early Detection and Classification of Diabetic Retinopathy through Analysis of Retinal Medical Images Using Deep Learning,Y. Siyah; K. Minaoui; F. Z. E. Biach; S. Saoudi,"2024 IEEE 12th International Symposium on Signal, Image, Video and Communications (ISIVC)",04-Jul-24,2024,"In this paper, we propose a model based on deep learning (DL) frameworks for the detection and classification of diabetic retinopathy (DR), along with the assessment of its severity. DL algorithms have been applied to fundus photographs, which are images of the back of the eye, to automatically detect and classify signs of DR. These algorithms can analyze retinal images and identify anomalies, including microaneurysms, hemorrhages, exudates, as well as fluid accumulation in the macula, all of which serve as indicators of the presence of diabetic retinopathy. We utilized the APTOS 2019 dataset sourced from Kaggle, comprising high-resolution retinal images processed with Gaussian filters for diabetic retinopathy detection. Experiments were conducted on six different models, including Visual Geometry Group 16 (VGG16), Visual Geometry Group 19 (VGG19), Residual Network 50 (ResNet50), Inception Version 3 (InceptionV3), basic Convolutional Neural Networks (CNN), and Mobile Network Version 2 (MobileNetV2). The results obtained demonstrate high accuracy, suggesting that this model could contribute to expediting and enhancing the diabetic retinopathy diagnostic process. By automating the detection of anomalies in retinal images, the system proposes an intelligent approach that may help alleviate the workload on medical personnel.",Geometry;Deep learning;Diabetic retinopathy;Visualization;Retina;Classification algorithms;Convolutional neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577805,IEEE Conferences,,,,,,
Chest Cancer Classification from Chest CT-Scan Images using Deep Learning,H. Bumpenje; Rahmadwati; Z. Abidin,"2024 International Conference on Smart Computing, IoT and Machine Learning (SIML)",04-Jul-24,2024,"Chest cancer is fatal, encompassing various tumors. This includes lung cancer as the most common, originating from tissues of the lungs. All chest cancer types present unique challenges, leaving individuals and healthcare professionals searching for solutions. The conventional fight against chest cancer includes surgery to remove the cancerous tissue, radiation therapy to target remaining cancer cells, and chemotherapy to attack cancer cells throughout the body. While these methods have seen advancements, innovative strategies are still required to aid doctors in classifying the different chest cancer types. Deep learning is currently showing potential, where researchers are developing sophisticated algorithms capable of analyzing medical images, identifying subtle patterns, and distinguishing between various cancer types. This research investigates the application of DenseNet121, a deep learning architecture with a combination of 2 data augmentation techniques namely, albumentations and mixup for classifying chest cancer types based on chest CT-scan images. Four image types were classified including adenocarcinoma, large cell carcinoma, squamous cell carcinoma and normal. The performance of the trained model for this research was based on accuracy, precision, recall and F1-score parameters. It was noted that DenseNet121 achieved an accuracy of 82.14% while combining albumentations and mixup, 78.64% with only mixup, 77.78% with only albumentations and 58.69% without data augmentation, indicating that the proposed model performed better. Combining albumentations and mixup took advantage of the strengths of both augmentation techniques to increase the size and the diversity of training datasets, thereby favoring regularization to reduce the overfitting challenge faced by deep learning models. However, further research is still required to evaluate the findings of this research on larger and other kinds of datasets and most importantly, compare them to the real-world scenarios that might introduce variations with a wider variety of cases.",Deep learning;Training;Accuracy;Squamous cell carcinoma;Diversity reception;Surgery;Medical services,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10578120,IEEE Conferences,,,,,,
Brain Tumor Classification using Multi-Resolution Averaged Spatial Attention Features with CBAM and Convolutional Neural Networks,M. C. Binish; R. S. Swarun Raj; V. Thomas,2024 1st International Conference on Trends in Engineering Systems and Technologies (ICTEST),03-Jul-24,2024,"Medical imaging plays a vital role in diagnosis and understanding of different medical conditions, especially with regard to neurology. The automation of medical imaging analysis has been substantially improved over the last few years due to the integration of advanced technologies like Deep Learning. Developing a system for the classification of brain tumors is the primary objective. It involves training the deep learning model of a dataset from brain scans that are labeled with tumor types. Recently, pre-trained models have been applied where features are typically collected from the very bottom layer after the flatten layer that differs between natural and medical images. This work suggests a multi-level feature extraction using spatial features and channel averaging methods for early brain tumor identification in order to address this issue and achieve a classification accuracy of 96.70% for the test data",Training;Deep learning;Accuracy;Feature extraction;Brain modeling;Data models;Medical diagnostic imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576086,IEEE Conferences,,,,,,
Enhanced MobileNet Architecture with Residual Blocks for Improved CT Image Classification,A. S; S. E. M,2024 1st International Conference on Trends in Engineering Systems and Technologies (ICTEST),03-Jul-24,2024,"This research introduces a novel modification to the MobileNet architecture, incorporating residual blocks to enhance its efficacy in the classification of computed tomography (CT) images, specifically for distinguishing malignant and benign cases. Comparative evaluations against MobileNet V1 and V2 were conducted using a diverse CT image dataset. Our proposed modified MobileNet consistently outperformed both baseline architectures across key evaluation metrics, including precision, recall, F1 score, confusion matrix, and overall accuracy. Additionally, the study investigated the impact of preprocessing techniques on classification performance. Results demonstrated a substantial improvement in accuracy when preprocessing was applied, underscoring its importance in optimizing deep learning models for medical image analysis. The incorporation of residual blocks into the MobileNet architecture proved instrumental in capturing intricate features, contributing to the observed performance boost compared to standard MobileNet architectures. This research not only highlights the significance of architectural modifications but also emphasizes the critical role of preprocessing in refining deep learning models for medical image classification. In conclusion, our findings suggest that the modified MobileNet architecture with residual blocks holds promise for enhanced CT image classification, with potential applications in early disease detection and clinical decision support systems.",Deep learning;Representation learning;Analytical models;Accuracy;Computed tomography;Refining;Computer architecture,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576085,IEEE Conferences,,,,,,
Enhanced Pneumonia Detection Through Advanced AI-Driven Hybrid Models: A Comparative Study of Deep Learning Architectures,H. Joseph; J. Anitha,2024 1st International Conference on Trends in Engineering Systems and Technologies (ICTEST),03-Jul-24,2024,"Pneumonia is an infection which is affected on lungs. The reason for infection can by bacteria, virus or fungi in humans. This is characterized by a severe cough with phlegm, chills, and fever. Pneumonia continues to be a significant global health concern. It is the necessity of early and accurate diagnosis is prudent to improve patient outcomes and reduce mortality rates. Now a days with the integration of advanced technologies, mainly artificial intelligence (AI) and medical imaging, we have observed promising results in enhancing pneumonia detection. The objective was to evaluate and examine different deep learning models to recognize pneumonia affected X-ray pictures in various instances, thereby identifying the best model. The proposed platform collects and processes datasets, builds different learning models for pneumonia classification, compares the models, and selects the best model. It delves into the potential of AI-driven models to analyze vast amounts of data, leading to faster and more accurate diagnoses. A comparative examination of each model in different settings may offer a deeper knowledge of each model's effectiveness in diagnosing pneumonia, resulting selection of deep learning models for pneumonia detection easier. In this study, we assess the effectiveness of pre-trained CNN models as feature extractors, followed by a variety of classifiers for distinguishing abnormal and normal chest X-rays. Statistical results show that pretrained CNN models combined with supervised classifier algorithms can be highly useful in analyzing chest X-ray images, particularly for detecting pneumonia. According to the results, the ResNet-50 model performed better on large datasets.",Deep learning;Analytical models;Pneumonia;Accuracy;Neural networks;Lung;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10576088,IEEE Conferences,,,,,,
Uni4Eye++: A General Masked Image Modeling Multi-modal Pre-training Framework for Ophthalmic Image Classification and Segmentation,Z. Cai; L. Lin; H. He; P. Cheng; X. Tang,IEEE Transactions on Medical Imaging,,2024,"A large-scale labeled dataset is a key factor for the success of supervised deep learning in most ophthalmic image analysis scenarios. However, limited annotated data is very common in ophthalmic image analysis, since manual annotation is time-consuming and labor-intensive. Self-supervised learning (SSL) methods bring huge opportunities for better utilizing unlabeled data, as they do not require massive annotations. To utilize as many unlabeled ophthalmic images as possible, it is necessary to break the dimension barrier, simultaneously making use of both 2D and 3D images as well as alleviating the issue of catastrophic forgetting. In this paper, we propose a universal self-supervised Transformer framework named Uni4Eye++ to discover the intrinsic image characteristic and capture domain-specific feature embedding in ophthalmic images. Uni4Eye++ can serve as a global feature extractor, which builds its basis on a Masked Image Modeling task with a Vision Transformer architecture. On the basis of our previous work Uni4Eye, we further employ an image entropy guided masking strategy to reconstruct more-informative patches and a dynamic head generator module to alleviate modality confusion. We evaluate the performance of our pre-trained Uni4Eye++ encoder by fine-tuning it on multiple downstream ophthalmic image classification and segmentation tasks. The superiority of Uni4Eye++ is successfully established through comparisons to other state-of-the-art SSL pre-training methods. Our code is available at Github1.",Task analysis;Training;Medical diagnostic imaging;Image reconstruction;Transformers;Head;Three-dimensional displays,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10580962,IEEE Early Access Articles,,,,,,
AI-Powered Brain Imaging for Early Neurodegenerative Disease Detection,P. B. Kalashetty; A. R. Punekar; S. H. Lokhande; H. Nawale,"2024 MIT Art, Design and Technology School of Computing International Conference (MITADTSoCiCon)",02-Jul-24,2024,"Neurodegenerative diseases, such as Alzheimer's, pose significant challenges to healthcare, underscoring the urgent need for precise and swift diagnostic tools. This research project aims to utilize Convolutional Neural Networks (CNN) alongside brain imaging methods to detect neurodegenerative diseases at an early stage. Drawing insights from existing literature, the objective is to devise an advanced system for timely detection. The endeavor begins with an extensive review of current research on neurodegenerative diseases, with a particular emphasis on the hippocampus role in Alzheimer's disease. The research study titled 'MRI of the hippocampus in the early stages of Alzheimer's disease' underscores the potential of magnetic resonance imaging (MRI) in early detection. Our project integrates sophisticated deep learning methodologies, including 3D CNNs and transfer learning, to augment diagnostic precision. Moreover, we introduce a pioneering approach, the Multiplane Convolutional Neural Network (MP-CNN), to leverage multiple MRI planes for a more comprehensive feature set. By combining machine learning, MRI, and deep learning, our project aims to advance early detection of neurodegenerative diseases, with a specific focus on Alzheimer's, offering a robust, effective, and efficient system.",Neuroimaging;Deep learning;Three-dimensional displays;Reviews;Magnetic resonance imaging;Transfer learning;Medical services,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575866,IEEE Conferences,,,,,,
